time,Efield
1.2184826495750626e-10,131555.88552129734
1.2184826495750626e-10,127878.70847526717
1.2184826495750626e-10,124507.96284973947
1.2779173843069706e-10,119298.62870119663
1.2779173843069706e-10,115621.45165516646
1.2779173843069706e-10,111944.27460913616
1.2779173843069706e-10,108267.09756310598
1.3373521190388787e-10,102138.46915305557
1.3373521190388787e-10,98461.2921070254
1.3373521190388787e-10,94784.11506099522
1.3373521190388787e-10,91106.93801496492
1.3373521190388787e-10,87429.76096893474
1.3967868537707867e-10,81301.13255888433
1.3967868537707867e-10,77623.95551285415
1.3967868537707867e-10,73946.77846682386
1.3967868537707867e-10,70269.60142079368
1.4562215885026947e-10,64140.973010743386
1.4562215885026947e-10,60463.79596471309
1.4562215885026947e-10,56786.618918682914
